28000	Lincoln EM
28001	Lincoln EMS
28002	Lincoln Fire
28003	Lincoln M/A
28004	Lincoln SO
28005	Lincoln EM Ops4
28006	Lincoln AC
28008	Lincolnton PD
28012	Lincoln SO Adam
28013	Lincoln SO Baker
28014	Lincoln SO Charlie
28016	Lincoln SO Court
28017	Lincoln Tac 1
28018	Lincoln Tac 2
28019	Lincoln Tac 3
28020	Lincoln Tac 4
28021	Lincoln Tac 5
28022	Lincoln SO Denver
28023	Lincoln Tac 11
28024	Lincoln Tac 6
28025	Lincoln Tac 7
28026	Lincoln Event
28027	Lincoln Tac 10
28028	Lincoln Emer
28032	Lincoln Tac 8
28033	Lincoln 911
28034	Lincoln EM Ops1
28035	Lincoln EM Ops2
28036	Lincoln EM Ops3
28037	Lincoln Tac 9
28038	Lincoln SO Xport
9500	Catawba 911
9501	Catawba Emergency
9502	Catawba Law 5
9503	Catawba Mutual Aid
9504	Catawba Common
9505	Catawba EMS Admin
9506	Catawba EMS (CMED)
9507	Catawba EMS Dispatch 2
9508	Catawba EMS Ops
9509	Catawba Emerg Mgmt
9510	Catawba Animal Control
9511	Catawba Fire Ops
9512	Catawba Fire Alert
9513	Catawba Fire
9514	Catawba General Govt
9515	Catawba Law 1
9516	Catawba Law 2
9517	Catawba PD Admin
9518	Catawba Rescue Disp 1
9519	Catawba Rescue Ops
9520	Catawba Police CID
9521	Catawba Sheriff
9522	Catawba Sheriff S/O
9523	Catawba Police Narcotics
9524	Catawba Police Admin
9526	Catawba Tac 1
9527	Catawba Tac 2
9528	Catawba Tac 3
9529	Catawba Tac 4
9530	Catawba Tac 5
9531	Catawba Tac 6
9532	Catawba Tac 7
9533	Catawba Tac 8
9544	Conover PD Dispatch
9545	Conover PD Ops 1
9555	Hickory Fire Ops
9556	Hickory Fire Dispatch
9557	Hickory PD Dispatch
9558	Hickory PD Car to Car
9559	Hickory PD DCI
9560	Hickory PD Admin
9561	Hickory PD Narcotics
9562	Hickory PD SOT
9567	Lake Norman
9577	Newton PD Dispatch
9578	Newton PD Investigative
9579	Newton PD Narcotics
9580	Newton PD Ops
25000	Iredell ACO Dispatch
25001	Iredell EM
25002	Iredell ECOM
25003	Iredell Med Ops
25005	Iredell Alert Fire
25006	Iredell Mutual Aid
25009	Iredell SO Dispatch 1
25015	Iredell SO Dispatch 2
25018	Iredell EOC
25019	Iredell Tac 1
25020	Iredell Tac 2
25037	Mooresville Fire Dispatch 1
25039	Mooresville PD Dispatch 1
25051	Statesville Fire Dispatch 1
25053	Statesville PD Ops 1
25054	Statesville PD Dispatch
